first_nneurons,second_nneurons,act_fcn,lr,dropout,batch_norm,batch_size,num_epochs,acc,out_percent,home_percent,sleep_percent
2,2,tanh,0.001,0.125,False,47,75,0.48936170212765956,0.7142857142857143,0.19047619047619047,0.7368421052631579
2,2,tanh,0.001,0.125,False,47,100,0.8085106382978723,0.8571428571428571,0.6190476190476191,1.0
2,2,tanh,0.001,0.125,False,47,125,0.7659574468085106,1.0,0.47619047619047616,1.0
2,2,tanh,0.001,0.125,False,47,150,0.851063829787234,1.0,0.6666666666666666,1.0
2,2,tanh,0.001,0.125,False,47,175,0.851063829787234,0.7142857142857143,0.7619047619047619,1.0
2,2,tanh,0.01,0,True,5,75,0.8936170212765957,1.0,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,True,5,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,True,5,125,0.8936170212765957,1.0,0.7619047619047619,1.0
2,2,tanh,0.01,0,True,5,150,0.8936170212765957,1.0,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,True,5,175,0.8723404255319149,1.0,0.8095238095238095,0.8947368421052632
2,2,tanh,0.01,0,True,47,75,0.9148936170212766,1.0,0.8571428571428571,0.9473684210526315
2,2,tanh,0.01,0,True,47,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,True,47,125,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,True,47,150,0.8297872340425532,0.7142857142857143,0.8095238095238095,0.8947368421052632
2,2,tanh,0.01,0,True,47,175,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,5,75,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,5,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,5,125,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,5,150,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,5,175,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,47,75,0.8297872340425532,0.7142857142857143,0.7619047619047619,0.9473684210526315
2,2,tanh,0.01,0,False,47,100,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,47,125,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
2,2,tanh,0.01,0,False,47,150,0.851063829787234,0.7142857142857143,0.8095238095238095,0.9473684210526315
